Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways,Break_Even_Demand_Increase_Pct
A0C5S,SPAMEDICA GLOUCESTER,90,134.0,250.0,18.65671641791045
A1D1B,SPAMEDICA WEMBLEY,356,316.0,548.0,17.341772151898734
A1U4J,SPAMEDICA PORTSMOUTH,176,136.0,220.0,16.176470588235293
A4M8P,BUCKSHAW HOSPITAL,3169,1544.0,772.0,5.0
A4Q9X,NEWMEDICA LEICESTER,952,570.0,552.0,9.68421052631579
AAH,TETBURY HOSPITAL TRUST LTD,275,852.0,1004.0,11.784037558685446
AAV,COMMUNITY HEALTH AND EYECARE LIMITED,5432,4654.0,5182.0,11.13450795015041
ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,10,68.0,66.0,9.705882352941178
ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,981,508.0,478.0,9.409448818897639
ACG13,NEWMEDICA - GLOUCESTER (ASPEN MEDICAL CENTRE),520,292.0,192.0,6.575342465753425
ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,701,430.0,402.0,9.348837209302326
ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,367,398.0,360.0,9.045226130653267
ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,751,462.0,400.0,8.658008658008658
ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,1631,838.0,870.0,10.381861575178998
ACG26,NEWMEDICA - NORTH DERBYSHIRE - MIDLAND COURT,1207,1214.0,1260.0,10.378912685337728
ACG30,NEWMEDICA - WORKSOP - DUKERIES,181,214.0,170.0,7.943925233644859
ACG31,NEWMEDICA - WORCESTER,966,974.0,794.0,8.151950718685832
ACG36,NEWMEDICA - EXETER - GLEN HOUSE,459,210.0,364.0,17.333333333333336
ACG37,NEWMEDICA - IPSWICH,1143,726.0,902.0,12.424242424242426
ACG38,NEWMEDICA - LANGFORD,421,258.0,262.0,10.155038759689923
ACG40,NEWMEDICA - WAKEFIELD,580,362.0,400.0,11.049723756906078
ACM,EYE CARE MEDICAL LTD,5,42.0,38.0,9.04761904761905
ADP02,KIMS HOSPITAL (NEWNHAM COURT),1285,1034.0,924.0,8.936170212765958
AHP,ST MICHAEL'S CLINIC LIMITED,1755,422.0,642.0,15.213270142180097
AJ8,THE GRANGE MEDICAL CENTRE HQ,231,254.0,210.0,8.267716535433072
AQK,VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,329,170.0,118.0,6.9411764705882355
AY1,MEDEFER,403,452.0,220.0,4.867256637168142
B1A5K,NEWMEDICA - NOTTINGHAM,760,748.0,692.0,9.251336898395722
B3M1X,CLAREMONT PRIVATE HOSPITAL,3172,1094.0,1030.0,9.414990859232175
B4N1U,SPAMEDICA ROMFORD,849,582.0,678.0,11.649484536082474
B5M7B,NEWMEDICA - NORWICH,1664,1100.0,1156.0,10.50909090909091
B9J4U,SPAMEDICA PETERBOROUGH,398,398.0,590.0,14.824120603015075
B9M3W,SPAMEDICA SOUTHAMPTON,357,256.0,312.0,12.187500000000002
C3Y0A,SPAMEDICA BLACKPOOL,248,248.0,194.0,7.822580645161291
C5Y9L,NEWMEDICA - BERKSHIRE - BRACKNELL,124,34.0,70.0,20.588235294117645
C9A7J,NEWMEDICA - BRADFORD & HUDDERSFIELD,834,456.0,480.0,10.526315789473683
D3O0Z,PLYMOUTH NEWMEDICA LTD,711,424.0,532.0,12.547169811320755
D5P5H,SPAMEDICA BEXHILL,194,308.0,524.0,17.012987012987015
DFQ,NORWICH & NORFOLK SURGICAL LTD (N2S),1096,806.0,992.0,12.307692307692308
DFY01,COTSWOLDS SURGICAL PARTNERS,282,266.0,350.0,13.157894736842104
DTT,PHOENIX PUBLIC HEALTH LTD,196,150.0,116.0,7.733333333333333
DX1,THE NEW FOSCOTE HOSPITAL LTD,408,280.0,344.0,12.285714285714285
DXV,OMNES HEALTHCARE LTD,12206,6842.0,1082.0,1.581408944752996
E1U4T,SPAMEDICA CARLISLE,812,526.0,556.0,10.570342205323193
E3D4A,SPAMEDICA TRURO,291,310.0,426.0,13.741935483870968
F0R0W,NEWMEDICA - DARLINGTON,73,28.0,36.0,12.85714285714286
F1Y1H,NEWMEDICA - CHESHIRE OAKS,468,314.0,312.0,9.936305732484078
F7F6D,NEWMEDICA - HERTFORSHIRE - WELWYN GARDEN CITY,1167,438.0,300.0,6.8493150684931505
F9Z4V,CIRCLE READING HOSPITAL,1694,938.0,862.0,9.189765458422174
G3O5P,SPAMEDICA NEWARK,486,406.0,532.0,13.10344827586207
G3Q3Z,NUFFIELD HEALTH HIGHGATE HOSPITAL,1164,1212.0,742.0,6.122112211221122
G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),3895,2096.0,1578.0,7.528625954198474
G4H0I,NEWMEDICA SUFFOLK - BURY ST EDMUNDS - CLARITY HOUSE,581,494.0,616.0,12.469635627530366
G5X2Q,SPAMEDICA NORTH TYNESIDE,452,336.0,252.0,7.500000000000001
G6S7A,SPAMEDICA TAUNTON,725,514.0,502.0,9.766536964980546
H1T2P,SPAMEDICA SWINDON,123,144.0,130.0,9.027777777777777
H2K1G,NEWMEDICA - BROMSGROVE,476,402.0,310.0,7.711442786069651
H4I8B,NUFFIELD HEALTH THE HOLLY HOSPITAL,4148,2928.0,2376.0,8.114754098360656
