Date,Provider Org Code,Provider Org Name,Total All,New_RTT_Periods,Completed_RTT_Pathways
2026-06-01,A0C5S,SPAMEDICA GLOUCESTER,90,134.0,250.0
2026-06-01,A1D1B,SPAMEDICA WEMBLEY,356,316.0,548.0
2026-06-01,A1U4J,SPAMEDICA PORTSMOUTH,176,136.0,220.0
2026-06-01,A4M8P,BUCKSHAW HOSPITAL,3169,1544.0,772.0
2026-06-01,A4Q9X,NEWMEDICA LEICESTER,952,570.0,552.0
2026-06-01,AAH,TETBURY HOSPITAL TRUST LTD,275,852.0,1004.0
2026-06-01,AAV,COMMUNITY HEALTH AND EYECARE LIMITED,5432,4654.0,5182.0
2026-06-01,ACG08,NEWMEDICA OPHTHALMOLOGY - NUNEATON - CAMP HILL - GP LED HEALTH CENTRE,10,68.0,66.0
2026-06-01,ACG12,NEWMEDICA COMMUNITY OPHTHALMOLOGY - NORTH EAST LINCOLNSHIRE - GRIMSBY,981,508.0,478.0
2026-06-01,ACG13,NEWMEDICA - GLOUCESTER (ASPEN MEDICAL CENTRE),520,292.0,192.0
2026-06-01,ACG19,NEWMEDICA COMMUNITY OPHTHALMOLOGY - LEEDS,701,430.0,402.0
2026-06-01,ACG20,NEWMEDICA - BRISTOL - LITFIELD HOUSE,367,398.0,360.0
2026-06-01,ACG22,NEWMEDICA - BRIGG - RIVERSIDE SURGERY,751,462.0,400.0
2026-06-01,ACG24,NEWMEDICA - TEESSIDE - NORTH ORMESBY,1631,838.0,870.0
2026-06-01,ACG26,NEWMEDICA - NORTH DERBYSHIRE - MIDLAND COURT,1207,1214.0,1260.0
2026-06-01,ACG30,NEWMEDICA - WORKSOP - DUKERIES,181,214.0,170.0
2026-06-01,ACG31,NEWMEDICA - WORCESTER,966,974.0,794.0
2026-06-01,ACG36,NEWMEDICA - EXETER - GLEN HOUSE,459,210.0,364.0
2026-06-01,ACG37,NEWMEDICA - IPSWICH,1143,726.0,902.0
2026-06-01,ACG38,NEWMEDICA - LANGFORD,421,258.0,262.0
2026-06-01,ACG40,NEWMEDICA - WAKEFIELD,580,362.0,400.0
2026-06-01,ACM,EYE CARE MEDICAL LTD,5,42.0,38.0
2026-06-01,ADP02,KIMS HOSPITAL (NEWNHAM COURT),1285,1034.0,924.0
2026-06-01,AHP,ST MICHAEL'S CLINIC LIMITED,1755,422.0,642.0
2026-06-01,AJ8,THE GRANGE MEDICAL CENTRE HQ,231,254.0,210.0
2026-06-01,AQK,VERNOVA HEALTHCARE COMMUNITY INTEREST COMPANY,329,170.0,118.0
2026-06-01,AY1,MEDEFER,403,452.0,220.0
2026-06-01,B1A5K,NEWMEDICA - NOTTINGHAM,760,748.0,692.0
2026-06-01,B3M1X,CLAREMONT PRIVATE HOSPITAL,3172,1094.0,1030.0
2026-06-01,B4N1U,SPAMEDICA ROMFORD,849,582.0,678.0
2026-06-01,B5M7B,NEWMEDICA - NORWICH,1664,1100.0,1156.0
2026-06-01,B9J4U,SPAMEDICA PETERBOROUGH,398,398.0,590.0
2026-06-01,B9M3W,SPAMEDICA SOUTHAMPTON,357,256.0,312.0
2026-06-01,C3Y0A,SPAMEDICA BLACKPOOL,248,248.0,194.0
2026-06-01,C5Y9L,NEWMEDICA - BERKSHIRE - BRACKNELL,124,34.0,70.0
2026-06-01,C9A7J,NEWMEDICA - BRADFORD & HUDDERSFIELD,834,456.0,480.0
2026-06-01,D3O0Z,PLYMOUTH NEWMEDICA LTD,711,424.0,532.0
2026-06-01,D5P5H,SPAMEDICA BEXHILL,194,308.0,524.0
2026-06-01,DFQ,NORWICH & NORFOLK SURGICAL LTD (N2S),1096,806.0,992.0
2026-06-01,DFY01,COTSWOLDS SURGICAL PARTNERS,282,266.0,350.0
2026-06-01,DTT,PHOENIX PUBLIC HEALTH LTD,196,150.0,116.0
2026-06-01,DX1,THE NEW FOSCOTE HOSPITAL LTD,408,280.0,344.0
2026-06-01,DXV,OMNES HEALTHCARE LTD,12206,6842.0,1082.0
2026-06-01,E1U4T,SPAMEDICA CARLISLE,812,526.0,556.0
2026-06-01,E3D4A,SPAMEDICA TRURO,291,310.0,426.0
2026-06-01,F0R0W,NEWMEDICA - DARLINGTON,73,28.0,36.0
2026-06-01,F1Y1H,NEWMEDICA - CHESHIRE OAKS,468,314.0,312.0
2026-06-01,F7F6D,NEWMEDICA - HERTFORSHIRE - WELWYN GARDEN CITY,1167,438.0,300.0
2026-06-01,F9Z4V,CIRCLE READING HOSPITAL,1694,938.0,862.0
2026-06-01,G3O5P,SPAMEDICA NEWARK,486,406.0,532.0
2026-06-01,G3Q3Z,NUFFIELD HEALTH HIGHGATE HOSPITAL,1164,1212.0,742.0
2026-06-01,G3Z1Q,SULIS HOSPITAL BATH (FOXCOTE AVENUE),3895,2096.0,1578.0
2026-06-01,G4H0I,NEWMEDICA SUFFOLK - BURY ST EDMUNDS - CLARITY HOUSE,581,494.0,616.0
2026-06-01,G5X2Q,SPAMEDICA NORTH TYNESIDE,452,336.0,252.0
2026-06-01,G6S7A,SPAMEDICA TAUNTON,725,514.0,502.0
2026-06-01,H1T2P,SPAMEDICA SWINDON,123,144.0,130.0
2026-06-01,H2K1G,NEWMEDICA - BROMSGROVE,476,402.0,310.0
2026-06-01,H4I8B,NUFFIELD HEALTH THE HOLLY HOSPITAL,4148,2928.0,2376.0
2026-06-01,H4J9P,NEWMEDICA AZTEC WEST,787,680.0,610.0
2026-06-01,I1H7K,SPAMEDICA SALE,246,168.0,208.0
2026-06-01,I2C7H,SPAMEDICA BRADFORD,303,172.0,100.0
2026-06-01,I9A4A,SPAMEDICA BRIGHTON,213,294.0,492.0
2026-06-01,J2H6H,SPAMEDICA COLCHESTER,151,134.0,214.0
2026-06-01,J3J8Z,NEWMEDICA - OXFORDSHIRE,1032,592.0,568.0
2026-06-01,J3X4C,SPAMEDICA WORCESTER,422,316.0,334.0
2026-06-01,J7V1N,SPAMEDICA SOLIHULL,419,260.0,370.0
2026-06-01,K8I4X,GLENDON WOOD HOSPITAL,1591,814.0,488.0
2026-06-01,K9J3O,SPAMEDICA LUTON,262,344.0,434.0
2026-06-01,L0D9W,NEWMEDICA - GLOUCESTER (BRIGHOUSE COURT),1051,780.0,1150.0
2026-06-01,L4R3R,NEWMEDICA - HAMPSHIRE,2125,826.0,1188.0
2026-06-01,L6O7H,SPAMEDICA POOLE,980,808.0,876.0
2026-06-01,L9D3Z,SPAMEDICA LEICESTER,309,170.0,274.0
2026-06-01,M0N7E,SPAMEDICA SITTINGBOURNE,184,204.0,336.0
2026-06-01,M2Y6D,PRACTICE PLUS GROUP HOSPITAL BIRMINGHAM,1761,1000.0,608.0
2026-06-01,M3R0W,SPAMEDICA NORWICH,252,208.0,336.0
2026-06-01,M4C5R,NEWMEDICA - NORTHAMPTON,1223,682.0,1038.0
2026-06-01,M5E1S,SPAMEDICA EXETER,350,278.0,230.0
2026-06-01,M7C9Q,SPAMEDICA EPSOM,298,326.0,624.0
2026-06-01,M9U8M,ENDOCARE DIAGNOSTICS LTD,56,326.0,352.0
2026-06-01,N6Z0R,NEWMEDICA - LINCOLN,31,16.0,10.0
